 -8.1233588e+000 -6.2585502e-001 -3.3304267e-001 -9.1630553e-003  2.0673214e-001  1.8548081e-001  3.1486376e-001  2.9411855e-001  2.8522258e-001  3.0333575e-001  2.0296727e-001  2.6087694e-001  1.1253506e-001  2.2299929e-001  1.3090716e-001
 -8.1228203e+000 -6.2520734e-001 -3.3274997e-001 -9.7659338e-003  2.0561693e-001  1.8431871e-001  3.1413155e-001  2.9392552e-001  2.8555844e-001  3.0364193e-001  2.0335997e-001  2.6129698e-001  1.1272580e-001  2.2322783e-001  1.3121491e-001
 -8.1233562e+000 -6.2644866e-001 -3.3368841e-001 -1.0278018e-002  2.0552818e-001  1.8468138e-001  3.1516609e-001  2.9511233e-001  2.8636732e-001  3.0421263e-001  2.0357975e-001  2.6117155e-001  1.1242774e-001  2.2281985e-001  1.3093303e-001
 -8.1230890e+000 -6.2586539e-001 -3.3326346e-001 -1.0083744e-002  2.0550270e-001  1.8449145e-001  3.1474046e-001  2.9460647e-001  2.8600304e-001  3.0394684e-001  2.0348469e-001  2.6122977e-001  1.1255348e-001  2.2299570e-001  1.3105547e-001
 -8.1228622e+000 -6.2511258e-001 -3.3261774e-001 -9.4623338e-003  2.0597528e-001  1.8458201e-001  3.1410138e-001  2.9369992e-001  2.8526471e-001  3.0341540e-001  2.0319439e-001  2.6120835e-001  1.1274743e-001  2.2326138e-001  1.3119257e-001
 -8.1235056e+000 -6.2631288e-001 -3.3341959e-001 -9.5273059e-003  2.0643923e-001  1.8543524e-001  3.1528817e-001  2.9469157e-001  2.8566823e-001  3.0364611e-001  2.0312637e-001  2.6087249e-001  1.1240167e-001  2.2282238e-001  1.3081400e-001
 -8.1245049e+000 -6.2831045e-001 -3.3483236e-001 -9.6938999e-003  2.0727064e-001  1.8688910e-001  3.1721392e-001  2.9632124e-001  2.8636002e-001  3.0402876e-001  2.0295992e-001  2.6024251e-001  1.1179804e-001  2.2210369e-001  1.3019558e-001
 -8.1246368e+000 -6.2935286e-001 -3.3590342e-001 -1.1139663e-002  2.0589938e-001  1.8614173e-001  3.1790428e-001  2.9779244e-001  2.8784335e-001  3.0515612e-001  2.0372052e-001  2.6055182e-001  1.1161165e-001  2.2178969e-001  1.3013087e-001
 -8.1226255e+000 -6.2418018e-001 -3.3176934e-001 -8.5991353e-003  2.0662119e-001  1.8478969e-001  3.1342739e-001  2.9259343e-001  2.8426654e-001  3.0268045e-001  2.0278016e-001  2.6114024e-001  1.1295993e-001  2.2355075e-001  1.3132052e-001
 -8.1246280e+000 -6.2923928e-001 -3.3576028e-001 -1.1029411e-002  2.0593438e-001  1.8609234e-001  3.1775862e-001  2.9765049e-001  2.8777406e-001  3.0512284e-001  2.0371530e-001  2.6058518e-001  1.1164979e-001  2.2182632e-001  1.3016144e-001
